1. Artículo;Año de Publicación;Periodo de Recolección de Datos;2. País en donde se realizó el estudio;3. Origen de los datos;4. Tamaño de la muestra;5. Causa de la deserción (o variable objetivo declarada);6. Variables Predictoras: Dimensiones_Predominantes;7. Variables Predictoras: Mejores Variables;8. Modelos de Aprendizaje Automático: Algoritmos_Evaluados;9. Modelos de Aprendizaje Automático: Mejor_Algoritmo;10. Métricas y Validación: Metricas_Reportadas;11. Métricas y Validación: Valor_Mejor_Metrica;12. Métricas y Validación: Tratamiento_Desbalanceo
ART232_SCP.pdf;2024;No reportado;Brasil;Registros Académicos (SIS);4424;Academic success / Dropout;DEMO-BIO;admission grade, retention years, order of choice, student debt;Árbol de Decisión (DT), Máquina de Vectores de Soporte (SVM), Bosque Aleatorio (RF), así como algoritmos de refinamiento como Aumento de Gradiente (GB), Aumento de Gradiente Extremo (XGBoost), CatBoost (CB) y Máquina de Aumento de Gradiente Ligero (LB);LightGBM/CatBoost;F1 score;F1 score: 0.87;Ninguno reportado
ART247_SCP.pdf;2024;(Aprox. según referencias);Ecuador;Registros Académicos (SIS);8737;Student dropout;ACAD-PERF;Cumulative GPA, number of semesters completed, failed courses;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);AUC-ROC, Accuracy, F1-Score;Accuracy: 0.9662;SMOTE / Oversampling
ART249_SCP.pdf;2021;(Datos del periodo académico 2016–2017)*;Ecuador;Registros Académicos (SIS);248252;High Academic Performance;SOCECO-FAM;Internet connection, preparation for exam, household resources;Random Forest (RF);Random Forest (RF);Accuracy, Cohen's Kappa;Accuracy: 0.84;Ninguno reportado
ART251_SCP.pdf;2019;(Aprox. según referencias);Brasil;Registros Académicos (SIS);35646;School dropout;ACAD-PERF;student grades, quota holder, sum of negative grades;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Gradient Boosting (XGBoost/LightGBM);Accuracy;AUC-ROC: 0.8648;Ninguno reportado
ART252_SCP.pdf;2020;(Aprox. según referencias);Ecuador;Registros Académicos (SIS);No reportado;Dropout;ACAD-PERF;Academic variables per semester;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART256_SCP.pdf;2024;(Aprox. según referencias);Colombia;Registros Académicos (SIS);No reportado;Deserción estudiantil;ACAD-PERF;Género, Sisbén, promedio general, notas en matemáticas, religión;Regresión Logística (LR);Regresión Logística (LR);Accuracy;Accuracy: 0.90;Ninguno reportado
ART280_WOS.pdf;2020;No reportado;Brasil;Plataformas LMS (Moodle/Blackboard);No reportado;Dropout rates;ACAD-BEHAV;Weekly interactions inside the VLE;Árboles de Decisión (DT), Bosques Aleatorios (RF), AdaBoost (ADA), Perceptrón Multicapa (MLP), Regresión Logística (RL);No reportado;AUC;AUC: 0.8454;Ninguno reportado
ART281_WOS.pdf;2023;(Datos de trayectorias analizados hasta 2019)*;Chile;Registros Académicos (SIS);6649625;School dropout;DEMO-BIO;foreign student, attendance, repetition, SES;Decision Trees (DT), Ensambles Híbridos;Ensambles Híbridos;F1-Score, Precision, Recall/Sensitivity;Recall/Sensitivity: 0.8814;Undersampling
ART282_WOS.pdf;2024;(Datos recopilados: cohortes 2016, 2017 y 2018)*;Colombia;Registros Académicos (SIS);No reportado;Academic performance in standardised tests;SOCECO-EDU;Socioeconomic level index, gender, region, location of educational institution;Decision Trees (DT), Ensambles Híbridos, Gradient Boosting (XGBoost/LightGBM), Naive Bayes (NB), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR);Ensambles Híbridos;AUC-ROC, Accuracy;AUC-ROC: 0.86;SMOTE / Oversampling
ART287_WOS.pdf;2021;(Aprox. según referencias);Brasil;Plataformas LMS (Moodle/Blackboard);4396;Passing/Failing;ACAD-BEHAV;Individual Activity 1 (IA1);Decision Tree, Support Vector Machine (SVM), Neural Network, Naïve Bayes, Random Forest, Linear Regression, AdaBoost, y k-NN;Random Forest;Accuracy, Precision, Recall, y las métricas g-means y f-measure.;accuracy: 0.93702;Ninguno reportado
ART290_WOS.pdf;2025;No reportado;Colombia;Registros Académicos (SIS);64800;Student dropout;ACAD-PERF;internet device, status, num_enrolled_subjects, gender, payment_method;Ensambles Híbridos, Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Ensambles Híbridos;Accuracy;Accuracy: 0.80;SMOTE / Oversampling
ART291_WOS.pdf;2020;No reportado;Ecuador;Registros Académicos (SIS);1071;Academic success or failure;ACAD-PRE;Diagnostic test score, university access score, self-efficacy, emotional attention;Regresión Logística (LR);Regresión Logística (LR);AUC-ROC, Accuracy;AUC-ROC: 0.986;Ninguno reportado
ART297_WOS.pdf;2025;(Datos recopilados del semestre 2025-I)*;Perú;Encuestas socioeconómicas;386;Academic performance;ACAD-PERF;Previous semester GPA, courses passed, commute time, repeats subjects, mother occupation;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Support Vector Machines (SVM);Random Forest (RF);No reportado;No reportado;Ninguno reportado
ART298_WOS.pdf;2021;No reportado;Chile;Registros Académicos (SIS);5951;First-year student dropout;ACAD-PRE;mathematical test, admission tests, grades;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Gradient Boosting (XGBoost/LightGBM);AUC-ROC, Accuracy;No reportado;Ninguno reportado
ART301_WOS.pdf;2024;No reportado;Ecuador;Registros Académicos (SIS);301;Online computer science program performance;No reportado;No reportado;ARIMA, K-Means, DBSCAN y Prophet;No reportado;No reportado;No reportado;Ninguno reportado
ART303_WOS.pdf;2025;(Datos históricos desde 1998 hasta 2022)*;Colombia;Registros Académicos (SIS);49;Dropout rates;ACAD-PERF;Dropout rate per semester;Regresión Logística (LR);Regresión Logística (LR);AIC, BIC;AIC: -98.776, BIC: -95.398;Ninguno reportado
ART306_WOS.pdf;2023;No reportado;Perú;Plataformas LMS (Moodle/Blackboard);32593;Student performance / dropout;ACAD-BEHAV;Daily summaries of student clicks;No reportado;No reportado;No reportado;No reportado;Ninguno reportado
ART311_WOS.pdf;2023;No reportado;Perú;Encuestas socioeconómicas;237;Student dropout;ACAD-PRE;Academic performance in high school, Failed subjects;Gradient Boosting (XGBoost/LightGBM), Redes Neuronales/Deep Learning (ANN/DL);Gradient Boosting (XGBoost/LightGBM);AUC-ROC, Accuracy;AUC-ROC: 0.9715;Ninguno reportado
ART257_IEEE.pdf;2021; No reportado explícitamente en los fragmentos. ;Perú;Registros Académicos (SIS);665;WHO dropout and WHEN they drop out;ACAD-PERF;Failures per semester, courses per semester;Decision Trees (DT), Naive Bayes (NB), Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: No reportado;Ninguno reportado
ART261_IEEE.pdf;2023; 2014 a 2020 ;México;Registros Académicos (SIS)/Registros Financieros/Becas;15684;student retention;ACAD-PERF/DEMO-FAM/SOCECO-EDU;students academic performance, family situation, and socioeconomic support.;Support Vector Machines (SVM)/K-Nearest Neighbors (KNN): ;XGBoost;Accuracy;Accuracy: 095;SMOTE
ART264_IEEE.pdf;2020; 2012 a 2018 (Ingresos 2012-2014, seguimiento a 2018) ;Brasil;Registros Académicos (SIS);12969;Student evasion (dropout);ACAD-PERF;SocProgram, ClosureSemester, GPA, ApplicYear;Decision Trees (DT);Decision Trees (DT);Accuracy;Accuracy: 0.99;Ninguno reportado
ART265_IEEE.pdf;2022; Primer semestre de 2019 ;Chile;Registros Académicos (SIS);467;Deserción;ACAD-PERF;No reportado;Naive Bayes (NB);Naive Bayes (NB);Accuracy;Accuracy: No reportado;SMOTE / Oversampling
ART270_IEEE.pdf;2021; 2004 a 2018 ;Perú;Registros Académicos (SIS);767;Predict desertion or graduation;ACAD-PERF;Demographic and academic variables;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Support Vector Machines (SVM);Gradient Boosting (XGBoost/LightGBM);Accuracy;Accuracy: 0.87;Ninguno reportado
ART271_IEEE.pdf;2021; 2016 a 2020 ;Brasil;Plataformas LMS (Moodle/Blackboard);761;Final status (dropout/failure);ACAD-PERF;Average grades, interactions with questionnaires;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), Naive Bayes (NB), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);F1-Score;F1-Score: 0.91;Ninguno reportado
ART273_IEEE.pdf;2024; No reportado explícitamente en los fragmentos. ;Perú;Registros Académicos (SIS);No reportado;Satisfactory academic performance;ACAD-PERF;Midterm exam, bin_recibio_tutoria, creditos_matriculados;Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);AUC-ROC;AUC-ROC: 0.94;Ninguno reportado
ART275_IEEE.pdf;2020; Cohortes 2012–2016 (excluyendo 2015) ;Chile;Registros Académicos (SIS);206;Student dropout;ACAD-PERF;Academic index, weighted average grade, income quintile;Decision Trees (DT), Random Forest (RF);Decision Trees (DT);Accuracy;Accuracy: 0.97;Ninguno reportado
ART276_ACM.pdf;2024; Basado en mapas de 2022 ;Brasil;Plataformas LMS (Moodle/Blackboard);4182;Dropout;ACAD-PERF;Access to the LMS, average final grade, number of approvals and rejections;Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Random Forest (RF);Gradient Boosting (XGBoost/LightGBM);Accuracy;Accuracy: 0.91;Ninguno reportado
ART313_WOS.pdf;2024; No reportado explícitamente en los fragmentos. ;Ecuador;Plataformas LMS (Moodle/Blackboard);591;Early academic performance / At risk;ACAD-PERF;note2, exam1, note1, resources_reviewed;Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Regresión Logística (LR);Accuracy;Accuracy: No reportado;Ninguno reportado
ART314_WOS.pdf;2022; 2008-1 a 2019-1 ;Perú;Registros Académicos (SIS);4365;Student dropout;ACAD-PRE;SemesterIngress_U, Last_Average_Accumulated, Curricular_Plan;Decision Trees (DT), Naive Bayes (NB), Random Forest (RF);Random Forest (RF);Accuracy;Accuracy: 0.97;SMOTE / Oversampling
ART315_WOS.pdf;2024; Datos accedidos en junio de 2024 ;México;Registros Académicos (SIS);No reportado;Term GPA;ACAD-PRE;student_originSchool.gpa, student.age, student_admission_test_score;Support Vector Machines (SVM);Support Vector Machines (SVM);Accuracy;Accuracy: 0.99;Ninguno reportado
ART316_WOS.pdf;2021; 2004 a 2018 (Cohortes 2004-2009) ;Chile;Registros Académicos (SIS);12840;Late program dropout;ACAD-PERF;Course-grade records;Decision Trees (DT);Decision Trees (DT);Accuracy;Accuracy: No reportado;Ninguno reportado
ART319_WOS.pdf;2022; Semestre académico 2021-II ;Perú;Encuestas socioeconómicas;670;Categorize into dropout risk levels;PSICO;Study habits, adaptation, depression, anxiety;K-Nearest Neighbors (KNN);K-Nearest Neighbors (KNN);Accuracy;Accuracy: 0.68;Ninguno reportado
ART321_WOS.pdf;2024; Enero y febrero de 2021 ;Ecuador;Encuestas socioeconómicas;2477;Perceived academic performance;SOCECO-EDU;ACADEMIC_Q3, GPA 202110, SYNCH_ATT;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: 0.77;SMOTE / Oversampling
ART322_WOS.pdf;2024; Accedido en marzo de 2024 ;Colombia ;Registros Académicos (SIS);413;Student dropout;ACAD-BEHAV/ACAD-PERF/DEMO-BIO/DEMO-FAM/SOCECO-EDU ;Academic performance, and demographic factors such as family environment and social and work environment;Random Forest (RF), Gradient Boosting (XGBoost/LightGBM), y Regresión Logística (LR);Random Forest (RF);AUC-ROC, Accuracy y F1-Score;AUC-ROC: 0.94;SMOTE / Oversampling
ART323_WOS.pdf;2025; Datos secundarios del estudio de 2022 ;Colombia;Encuestas socioeconómicas;269;Intention to drop out;ACAD-PERF;Academic GPA, state support, mother's educational level;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);AUC-ROC;AUC-ROC: 0.74;Ninguno reportado
ART327_WOS.pdf;2023; No reportado explícitamente en los fragmentos. ;Colombia;Registros Académicos (SIS);3534;Failure event;ACAD-PERF;Economic, health, algebra and calculus grades;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM);Gradient Boosting (XGBoost/LightGBM);Precision;Precision: No reportado;SMOTE / Oversampling
ART328_WOS.pdf;2020; Febrero de 2018 a octubre de 2019 ;América Latina;Plataformas LMS (Moodle/Blackboard);No reportado;Predicción temprana de deserción;ACAD-BEHAV;Interacciones con la plataforma virtual;Random Forest (RF);Random Forest (RF);Precision;Precision: No reportado;Ninguno reportado
ART329_WOS.pdf;2022; 2015 a 2020 ;Uruguay;Registros Académicos (SIS);261446;Early identification of students at risk;ACAD-PRE;Information from primary education, absences, performance;Random Forest (RF);Random Forest (RF);Accuracy;Accuracy: No reportado;Ninguno reportado
ART330_WOS.pdf;2024; Datos consolidados en 2023 ;Brasil;Registros Académicos (SIS);No reportado;Prediction of dropout;ACAD-PERF;Academic performance;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);Accuracy;Accuracy: No reportado;Ninguno reportado
ART332_WOS.pdf;2023; 2014 a 2020 ;México;Registros Académicos (SIS);77517;Deserción escolar;ACAD-PERF;Promedio estudiantil, porcentaje de beca, región campus;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR);Gradient Boosting (XGBoost/LightGBM);Accuracy;Accuracy: 0.99;SMOTE / Oversampling
ART334_WOS.pdf;2025; Búsqueda de literatura 2019–2024 ;Ecuador;Plataformas LMS (Moodle/Blackboard);15155;Early academic performance / at-risk students;ACAD-PERF;num_exam1, num_note2, num_note1;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Random Forest (RF), Regresión Logística (LR);Gradient Boosting (XGBoost/LightGBM);AUC-ROC;AUC-ROC: 0.95;SMOTE / Oversampling
ART336_WOS.pdf;2023; Desde el año 2003 hasta la actualidad ;México;Registros Académicos (SIS);4709;Student attrition;ACAD-PERF;Performance in mathematics area;Decision Trees (DT), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: 0.98;SMOTE / Oversampling
ART338_WOS.pdf;2024; No reportado explícitamente en los fragmentos. ;México;Plataformas LMS (Moodle/Blackboard);326;Academic success;ACAD-BEHAV;Selective features from video interactions;Decision Trees (DT), Random Forest (RF);Decision Trees (DT);Accuracy;Accuracy: 0.99;SMOTE / Oversampling
ART341_WOS.pdf;2022; Accedido en abril de 2022 ;México;Registros Académicos (SIS);No reportado;Academic achievement;ACAD-PRE;HSGPA, SAT, Delay Avoidance;Regresión Logística (LR);Regresión Logística (LR);Accuracy;Accuracy: 0.52;Ninguno reportado
ART345_WOS.pdf;2023; Periodo de cinco años académicos ;Ecuador;Registros Académicos (SIS);500;Student retention;ACAD-PERF;Course performance, grades, socioeconomic factors;Random Forest (RF);Random Forest (RF);Accuracy;Accuracy: No reportado;Ninguno reportado
ART348_WOS.pdf;2023; 2010-2 hasta 2019-2 ;Brasil;Registros Académicos (SIS);2319;Evadido (Desistente y Desvinculado);DEMO-BIO;CORRACA, ANOULTIMAINST, ULTIMO_SEMESTRE, ESTADOCIVIL;No reportado;No reportado;Accuracy;Accuracy: No reportado;Ninguno reportado
ART349_WOS.pdf;2022; No reportado explícitamente en los fragmentos. ;Perú;Registros Académicos (SIS);No reportado;University Students Dropout;ACAD-PERF;creditos_aprob, dep_padre_tutor, prom_ant, prom_hist, Situacion;Decision Trees (DT);Decision Trees (DT);Accuracy;Accuracy: No reportado;Ninguno reportado
ART352_WOS.pdf;2021; 2004 y 2010 ;Chile;Registros Académicos (SIS);6656;Student retention;ACAD-PRE;Secondary educational score, community poverty index;Decision Trees (DT), K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: 0.80;SMOTE / Oversampling
ART360_WOS.pdf;2025; 2018 a 2020 ;Ecuador;Registros Académicos (SIS);50000;Academic performance;DEMO-GEO;Socioeconomic level, type of institution, student-teacher ratio, access to technology;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Regresión Logística (LR);Gradient Boosting (XGBoost/LightGBM);F1-Score;F1-Score: 0.86;Ninguno reportado
ART363_WOS.pdf;2025; Enviado en julio de 2024 ;Brasil;Plataformas LMS (Moodle/Blackboard);No reportado;Dropout prediction;ACAD-BEHAV;Weekly accesses, afternoon accesses, messages received;Regresión Logística (LR);Regresión Logística (LR);Accuracy;Accuracy: No reportado;Ninguno reportado
ART365_WOS.pdf;2020; No reportado explícitamente en los fragmentos. ;América Latina;Registros Académicos (SIS);No reportado;Precisiones de los modelos;ACAD-PERF;No reportado;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);Accuracy;Accuracy: No reportado;Ninguno reportado
ART366_WOS.pdf;2020; Basado en el proyecto PIJ-17-12 ;Ecuador;Registros Académicos (SIS);No reportado;Student failure;ACAD-PRE;Application score, vulnerability index, regime, gender, population segment;Redes Neuronales/Deep Learning (ANN/DL);Redes Neuronales/Deep Learning (ANN/DL);AUC-ROC;AUC-ROC: 0.75;Ninguno reportado
ART367_WOS.pdf;2024; No reportado explícitamente en los fragmentos. ;América Latina;Registros Académicos (SIS);450;Learning personalization;DEMO-BIO;Age, gender;Random Forest (RF);Random Forest (RF);Accuracy;Accuracy: No reportado;Ninguno reportado
ART369_WOS.pdf;2024; Retrospectiva de 10 años calendario ;Ecuador;Registros Académicos (SIS);6690;Academic success;ACAD-PERF;ChangeDegree, RateApproval, Average, Degree;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), Naive Bayes (NB), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Support Vector Machines (SVM);Gradient Boosting (XGBoost/LightGBM);AUC-ROC;AUC-ROC: 0.87;SMOTE / Oversampling
ART370_WOS.pdf;2025; Datos históricos desde 2014 ;América Latina;Encuestas socioeconómicas;4682;Dropout;DEMO-BIO;Student age, high school GPA, conditioned admission status;Gradient Boosting (XGBoost/LightGBM);Gradient Boosting (XGBoost/LightGBM);Recall/Sensitivity;Recall/Sensitivity: 0.88;Undersampling
ART373_WOS.pdf;2024; Cohortes 2011 a 2017 ;México;Registros Académicos (SIS);7976;Academic progress;ACAD-PRE;Percentage of correct answers in diagnostic exam;Naive Bayes (NB), Redes Neuronales/Deep Learning (ANN/DL);Naive Bayes (NB);Accuracy;Accuracy: 0.74;Ninguno reportado
ART375_WOS.pdf;2019; 2016 y 2017 ;América Latina;Plataformas LMS (Moodle/Blackboard);No reportado;At-risk students;ACAD-BEHAV;Interaction count, average, median;Ensambles Híbridos, Random Forest (RF);Ensambles Híbridos;AUC-ROC;AUC-ROC: 0.83;SMOTE / Oversampling
ART376_WOS.pdf;2025;" Comité de ética 2018; seguimiento posterior ";Chile;Encuestas socioeconómicas;946;Student dropout;ACAD-PERF;Grades during semester, number of subjects failed;Ensambles Híbridos;Ensambles Híbridos;AUC-ROC;AUC-ROC: 0.92;Undersampling
ART377_WOS.pdf;2024; Semestre B 2021 ;Colombia;Encuestas socioeconómicas;103;Logro académico;DEMO-BIO;Edad, género, semestre, puntualidad, estímulos a la participación;Regresión Logística (LR), Support Vector Machines (SVM);Support Vector Machines (SVM);Accuracy;Accuracy: 0.89;Ninguno reportado
ART378_WOS.pdf;2024; 2020–2022 ;Perú;Registros Académicos (SIS);677;Pass or fail;ACAD-PERF;Academic grades in programming, linguistic comprehension, mathematics;Decision Trees (DT), K-Nearest Neighbors (KNN), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Redes Neuronales/Deep Learning (ANN/DL);Accuracy;Accuracy: No reportado;SMOTE / Oversampling
ART380_WOS.pdf;2023; 2014 a 2020 ;México;Registros Académicos (SIS);14495;Student dropout;ACAD-PERF;Average grades in first period, admission tests, high school grades;Decision Trees (DT), Ensambles Híbridos, Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: 0.99;Ninguno reportado
ART381_WOS.pdf;2025; 2013 a 2023 ;Panamá;Registros Académicos (SIS);22615;Students at risk of dropping out;DEMO-BIO;AGE, SCHOOL_GPA;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Regresión Logística (LR);Random Forest (RF);Accuracy;Accuracy: 0.98;Ninguno reportado
ART383_WOS.pdf;2024; 2013 a 2017 ;Chile;Registros Académicos (SIS);111;On-time graduation;ACAD-PERF;GPA, years in degree, majors, graduation modality;Naive Bayes (NB), Random Forest (RF), Support Vector Machines (SVM);Random Forest (RF);F1-Score;F1-Score: No reportado;Ninguno reportado
ART384_WOS.pdf;2021; 2016 a 2019 ;México;Registros Académicos (SIS);No reportado;Riesgo académico;ACAD-PRE;ICNE, DIAG, Exani, Carrera;Decision Trees (DT), Random Forest (RF);Decision Trees (DT);Accuracy;Accuracy: No reportado;Ninguno reportado
ART386_WOS.pdf;2021; 2012 a 2016 ;Chile;Registros Académicos (SIS);3362;Student dropout;ACAD-PERF;Family background, admission process, GPA;Decision Trees (DT), K-Nearest Neighbors (KNN), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Support Vector Machines (SVM);Accuracy;Accuracy: No reportado;SMOTE / Oversampling
ART388_WOS.pdf;2024; No reportado explícitamente en los fragmentos. ;Ecuador;Registros Académicos (SIS);160000;Deserción estudiantil;ACAD-PERF;Nota de corte 2, ocupación jefe de hogar, edad;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Support Vector Machines (SVM);Random Forest (RF);Accuracy;Accuracy: No reportado;Ninguno reportado
ART391_WOS.pdf;2025; 2017 a 2019 ;Costa Rica;Registros Académicos (SIS);No reportado;Abandono estudiantil;ACAD-PRE;Nota PAA, nota colegio, sexo, edad, beca, IDS;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF), Regresión Logística (LR);Random Forest (RF);F1-Score;F1-Score: 0.73;Ninguno reportado
ART392_WOS.pdf;2025; No reportado explícitamente en los fragmentos. ;Brasil;Plataformas LMS (Moodle/Blackboard);567;Student dropout prediction;ACAD-BEHAV;Course duration, total logs, days with access, inactivity;Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), Regresión Logística (LR);Gradient Boosting (XGBoost/LightGBM);F1-Score;F1-Score: No reportado;SMOTE / Oversampling
ART396_WOS.pdf;2023; 2008-01 a 2020-02 ;Perú;Registros Académicos (SIS);13696;Student dropout prediction;ACAD-PERF;Approved_Courses, Final_GPA;Decision Trees (DT), K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Redes Neuronales/Deep Learning (ANN/DL);Accuracy;Accuracy: 0.98;Undersampling
ART399_WOS.pdf;2025; Datos accedidos en octubre de 2024 ;América Latina;Registros Académicos (SIS);69066;Student dropout;ACAD-PERF;Previous average grades, failed courses;Random Forest (RF);Random Forest (RF);Accuracy;Accuracy: No reportado;Ninguno reportado
ART405_WOS.pdf;2020; No reportado explícitamente en los fragmentos. ;España;Plataformas LMS (Moodle/Blackboard);3235;Predicting student performance;ACAD-BEHAV;Eventos en plataforma (logs);Random Forest (RF);Random Forest (RF);AUC-ROC;AUC-ROC: No reportado;Ninguno reportado
ART409_WOS.pdf;2020; Datos del primer año de programas de bachillerato ;Chile;Registros Académicos (SIS);3362;Student dropout;ACAD-PRE;PSU score mathematics, gross family income, private school;Gradient Boosting (XGBoost/LightGBM), Random Forest (RF);Gradient Boosting (XGBoost/LightGBM);Accuracy;Accuracy: No reportado;Undersampling
ART412_WOS.pdf;2025; 2009 a 2014 (seguimiento hasta 2017) ;Brasil;Registros Académicos (SIS);No reportado;Dropout;ACAD-PERF;IN_COMPLEMENTARY_ACTIVITY, T1, T2;Random Forest (RF), Regresión Logística (LR), Support Vector Machines (SVM);Regresión Logística (LR);AUC-ROC;AUC-ROC: 0.90;Ninguno reportado
ART416_WOS.pdf;2022; No reportado explícitamente en los fragmentos. ;Perú;Registros Académicos (SIS);No reportado;Academic performance;ACAD-PERF;Failed Courses, First Year Score, Second Year Score;Decision Trees (DT), Gradient Boosting (XGBoost/LightGBM), K-Nearest Neighbors (KNN), Random Forest (RF), Redes Neuronales/Deep Learning (ANN/DL), Regresión Logística (LR), Support Vector Machines (SVM);Gradient Boosting (XGBoost/LightGBM);Accuracy;Accuracy: 0.91;Ninguno reportado
